carType,color,condition,currency,drive,city,country,make,manufacture_year,mileage,mileage_unit,model,model_variant,price_on_request,type,zip,manufacture_month,fuel_consumption_unit
Saloon,Red,Occasion,null,null,Zuzwil,null,VW,null,84600,km,Phaeton 3.0 TDi V6 4M,VW Phaeton 3.0 TDi V6 4M,null,car,null,null,null
Convertible,Black,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,48700,km,SL 600,MERCEDES-BENZ SL 600,null,car,null,null,null
Other,Black,Occasion,null,null,Zuzwil,null,GIOTTILINE,null,200,km,Therry T22,GIOTTILINE Therry T22,null,car,null,null,null
SUV,Silver,Occasion,null,null,Zuzwil,null,PORSCHE,null,21000,km,Cayenne Turbo,PORSCHE Cayenne Turbo,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,7400,km,E 63 AMG,MERCEDES-BENZ E 63 AMG,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,RENAULT,null,68000,km,Alpine A110 1600 S,RENAULT Alpine A110 1600 S,null,car,null,null,null
Saloon,Green,Occasion,null,null,Zuzwil,null,AUDI,null,94000,km,A6 2.8 Ambiente,AUDI A6 2.8 Ambiente,null,car,null,null,null
Coupé,Blue,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,29500,km,CL 600,MERCEDES-BENZ CL 600,null,car,null,null,null
Saloon,Silver,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,53800,km,E 55 AMG Avantgarde,MERCEDES-BENZ E 55 AMG Avantgarde,null,car,null,null,null
Station Wagon,Blue,Occasion,null,null,Zuzwil,null,AUDI,null,37800,km,RS4 Avant quattro,AUDI RS4 Avant quattro,null,car,null,null,null
Convertible,White,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,15600,km,SL 500,MERCEDES-BENZ SL 500,null,car,null,null,null
Station Wagon,White,Occasion,null,null,Zuzwil,null,AUDI,null,31500,km,RS6 Avant 5.0 V10 quattro,AUDI RS6 Avant 5.0 V10 quattro,null,car,null,null,null
Saloon,Gray,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,205500,km,S 55 AMG,MERCEDES-BENZ S 55 AMG,null,car,null,null,null
Convertible,Silver,Occasion,null,null,Zuzwil,null,BMW,null,5400,km,650i xDrive,BMW 650i xDrive,null,car,null,null,null
Coupé,Yellow,Occasion,null,null,Zuzwil,null,MASERATI,null,64600,km,3200 GT,MASERATI 3200 GT,null,car,null,null,null
Convertible,Gray,Occasion,null,null,Zuzwil,null,PORSCHE,null,29500,km,911 Carrera S Cabrio,PORSCHE 911 Carrera S Cabrio,null,car,null,null,null
Convertible,Black,Occasion,null,null,Zuzwil,null,ROLLS-ROYCE,null,47100,km,CORNICHE III,ROLLS-ROYCE CORNICHE III,null,car,null,null,null
Coupé,Gray,Occasion,null,null,Zuzwil,null,BUGATTI,null,4000,km,EB 110 GT/SS,BUGATTI EB 110 GT/SS,null,car,null,null,null
SUV,Gray,Occasion,null,null,Zuzwil,null,LAND ROVER,null,54600,km,Range Rover 4.6 HSE,LAND ROVER Range Rover 4.6 HSE,null,car,null,null,null
SUV,Black,Neu,null,null,Zuzwil,null,MERCEDES-BENZ,null,1,km,ML 500 4Matic,MERCEDES-BENZ ML 500 4Matic,null,car,null,null,null
Coupé,Black,Occasion,null,null,Zuzwil,null,RENAULT,null,40700,km,Alpine A110 1600 SC,RENAULT Alpine A110 1600 SC,null,car,null,null,null
Coupé,Red,Occasion,null,null,Zuzwil,null,PORSCHE,null,9650,km,911 Turbo,PORSCHE 911 Turbo,null,car,null,null,null
Saloon,Gray,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,43000,km,S 250 CDI BlueEff SS,MERCEDES-BENZ S 250 CDI BlueEff SS,null,car,null,null,null
Convertible,Gray,Occasion,null,null,Zuzwil,null,BENTLEY,null,58000,km,Continental GTC 6.0,BENTLEY Continental GTC 6.0,null,car,null,null,null
Saloon,Black,Occasion,null,null,Zuzwil,null,BMW-ALPINA,null,146500,km,3 SERIES B8,BMW-ALPINA 3 SERIES B8,null,car,null,null,null
Convertible,Silver,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,98000,km,SL 500 6.0 AMG,MERCEDES-BENZ SL 500 6.0 AMG,null,car,null,null,null
SUV,Blue,Occasion,null,null,Zuzwil,null,LAND ROVER,null,49900,km,Range Rover Sport 4.2 V8 SC,LAND ROVER Range Rover Sport 4.2 V8 SC,null,car,null,null,null
Saloon,Silver,Occasion,null,null,Zuzwil,null,BMW,null,19000,km,M5,BMW M5,null,car,null,null,null
Convertible,Gray,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,105300,km,SL 350,MERCEDES-BENZ SL 350,null,car,null,null,null
Station Wagon,Gray,Occasion,null,null,Zuzwil,null,AUDI,null,32900,km,RS6 Avant quattro,AUDI RS6 Avant quattro,null,car,null,null,null
Station Wagon,Green,Occasion,null,null,Zuzwil,null,AUDI,null,45300,km,RS6 Avant 5.0 V10 quattro,AUDI RS6 Avant 5.0 V10 quattro,null,car,null,null,null
Saloon,Gray,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,130000,km,S 65 AMG L,MERCEDES-BENZ S 65 AMG L,null,car,null,null,null
Coupé,Silver,Vorführmodell,null,null,Zuzwil,null,FERRARI,null,26000,km,599 GTB,FERRARI 599 GTB,null,car,null,null,null
Coupé,White,Occasion,null,null,Zuzwil,null,MASERATI,null,95300,km,Coupé GT,MASERATI Coupé GT,null,car,null,null,null
Saloon,Black,Oldtimer,null,null,Zuzwil,null,MERCEDES-BENZ,null,110200,km,450 SLC,MERCEDES-BENZ 450 SLC,null,car,null,null,null
Saloon,Red,Occasion,null,null,Zuzwil,null,TOYOTA,null,78000,km,1000 / Publica,TOYOTA 1000 / Publica,null,car,null,null,null
Coupé,Silver,Occasion,null,null,Zuzwil,null,RENAULT,null,57700,km,Alpine A110 1600S,RENAULT Alpine A110 1600S,null,car,null,null,null
Coupé,Blue,Occasion,null,null,Zuzwil,null,LOTUS,null,36700,km,Esprit 3.5 V8 SE,LOTUS Esprit 3.5 V8 SE,null,car,null,null,null
SUV,Blue,Occasion,null,null,Zuzwil,null,FORD (USA),null,50100,km,Explorer 4.0 Ltd. Edition,FORD (USA) Explorer 4.0 Ltd. Edition,null,car,null,null,null
Coupé,Black,Occasion,null,null,Porrentruy,null,LAMBORGHINI,null,45700,km,Diablo 5.7 SV,LAMBORGHINI Diablo 5.7 SV,null,car,null,null,null
Coupé,Silver,Oldtimer,null,null,Zuzwil,null,TOYOTA,null,79300,km,CELICA 1600 GT DOHC,TOYOTA CELICA 1600 GT DOHC,null,car,null,null,null
Saloon,Blue,Occasion,null,null,Zuzwil,null,MERCEDES-BENZ,null,91600,km,500 SE,MERCEDES-BENZ 500 SE,null,car,null,null,null
